index,company,body-style,wheel-base,length,engine-type,num-of-cylinders,horsepower,average-mileage,price-USD,price-EUR
0,Alfa-Romero,convertible,88.6,168.8,dohc,four,111,21,13495.0,12852.38
1,Alfa-Romero,convertible,88.6,168.8,dohc,four,111,21,16500.0,15714.29
3,Audi,sedan,99.8,176.6,ohc,four,102,24,13950.0,13285.71
4,Audi,sedan,99.4,176.6,ohc,five,115,18,17450.0,16619.05
5,Audi,sedan,99.8,177.3,ohc,five,110,19,15250.0,14523.81
6,Audi,wagon,105.8,192.7,ohc,five,110,19,18920.0,18019.05
9,Bmw,sedan,101.2,176.8,ohc,four,101,23,16430.0,15647.62
10,Bmw,sedan,101.2,176.8,ohc,four,101,23,16925.0,16119.05
11,Bmw,sedan,101.2,176.8,ohc,six,121,21,20970.0,19971.43
13,Bmw,sedan,103.5,189.0,ohc,six,182,16,30760.0,29295.24
14,Bmw,sedan,103.5,193.8,ohc,six,182,16,41315.0,39347.62
15,Bmw,sedan,110.0,197.0,ohc,six,182,15,36880.0,35123.81
16,Chevrolet,hatchback,88.4,141.1,l,three,48,47,5151.0,4905.71
17,Chevrolet,hatchback,94.5,155.9,ohc,four,70,38,6295.0,5995.24
18,Chevrolet,sedan,94.5,158.8,ohc,four,70,38,6575.0,6261.9
19,Dodge,hatchback,93.7,157.3,ohc,four,68,31,6377.0,6073.33
20,Dodge,hatchback,93.7,157.3,ohc,four,68,31,6229.0,5932.38
26,Honda,wagon,96.5,157.1,ohc,four,76,30,7295.0,6947.62
28,Honda,sedan,96.5,175.4,ohc,four,101,24,12945.0,12328.57
29,Honda,sedan,96.5,169.1,ohc,four,100,25,10345.0,9852.38
30,Isuzu,sedan,94.3,170.7,ohc,four,78,24,6785.0,6461.9
33,Jaguar,sedan,113.0,199.6,dohc,six,176,15,32250.0,30714.29
34,Jaguar,sedan,113.0,199.6,dohc,six,176,15,35550.0,33857.14
35,Jaguar,sedan,102.0,191.7,ohcv,twelve,262,13,36000.0,34285.71
36,Mazda,hatchback,93.1,159.1,ohc,four,68,30,5195.0,4947.62
37,Mazda,hatchback,93.1,159.1,ohc,four,68,31,6095.0,5804.76
38,Mazda,hatchback,93.1,159.1,ohc,four,68,31,6795.0,6471.43
39,Mazda,hatchback,95.3,169.0,rotor,two,101,17,11845.0,11280.95
43,Mazda,sedan,104.9,175.0,ohc,four,72,31,18344.0,17470.48
44,Mercedes-Benz,sedan,110.0,190.9,ohc,five,123,22,25552.0,24335.24
45,Mercedes-Benz,wagon,110.0,190.9,ohc,five,123,22,28248.0,26902.86
46,Mercedes-Benz,sedan,120.9,208.1,ohcv,eight,184,14,40960.0,39009.52
47,Mercedes-Benz,hardtop,112.0,199.2,ohcv,eight,184,14,45400.0,43238.1
48,Mitsubishi,hatchback,93.7,157.3,ohc,four,68,37,5389.0,5132.38
50,Mitsubishi,hatchback,93.7,157.3,ohc,four,68,31,6189.0,5894.29
51,Mitsubishi,sedan,96.3,172.4,ohc,four,88,25,6989.0,6656.19
52,Mitsubishi,sedan,96.3,172.4,ohc,four,88,25,8189.0,7799.05
54,Nissan,sedan,94.5,165.3,ohc,four,69,31,6649.0,6332.38
55,Nissan,sedan,94.5,165.3,ohc,four,69,31,6849.0,6522.86
56,Nissan,wagon,94.5,170.2,ohc,four,69,31,7349.0,6999.05
57,Nissan,sedan,100.4,184.6,ohcv,six,152,19,13499.0,12856.19
61,Porsche,hardtop,89.5,168.9,ohcf,six,207,17,34028.0,32407.62
62,Porsche,convertible,89.5,168.9,ohcf,six,207,17,37028.0,35264.76
66,Toyota,hatchback,95.7,158.7,ohc,four,62,35,5348.0,5093.33
67,Toyota,hatchback,95.7,158.7,ohc,four,62,31,6338.0,6036.19
68,Toyota,hatchback,95.7,158.7,ohc,four,62,31,6488.0,6179.05
69,Toyota,wagon,95.7,169.7,ohc,four,62,31,6918.0,6588.57
70,Toyota,wagon,95.7,169.7,ohc,four,62,27,7898.0,7521.9
71,Toyota,wagon,95.7,169.7,ohc,four,62,27,8778.0,8360.0
79,Toyota,wagon,104.5,187.8,dohc,six,156,19,15750.0,15000.0
80,Volkswagen,sedan,97.3,171.7,ohc,four,52,37,7775.0,7404.76
81,Volkswagen,sedan,97.3,171.7,ohc,four,85,27,7975.0,7595.24
82,Volkswagen,sedan,97.3,171.7,ohc,four,52,37,7995.0,7614.29
86,Volkswagen,sedan,97.3,171.7,ohc,four,100,26,9995.0,9519.05
87,Volvo,sedan,104.3,188.8,ohc,four,114,23,12940.0,12323.81
88,Volvo,wagon,104.3,188.8,ohc,four,114,23,13415.0,12776.19
